name,business_id,categories,is_closed,review_id,review_rating,review_text,user_id
Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,Burmese,FALSE,VLMb-vC7zqQ0tyRqy1F4tQ,5,OMG this was one of the best meals of my life! We came early for lunch and got a spot in 10mins. They had hot jasmine tea outside for people waiting! The...,4I5ty1FcDG2b42XmITk2Rg
Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,Burmese,FALSE,HW_ZNQTYeeFWlr5WR_X5SA,5,"My first experience at a Burmese restaurant. 
Tried the platha and dip. 
The dip really is a rich coconut based super delicious curry and the platha are...",rhJWs0HZkfUtj-1HPc32ug
Burma Superstar,eYXwVR4mMAjzkJnm5wneHQ,Burmese,FALSE,M6RGnC_3JF8-ROJeG7MVrA,3,I recently watched this video of two dogs eating out of their respective bowls. Dog 1 looks up and sees Dog 2 really enjoying his meal and goes over to Dog...,NllBgUedvHLgJEwiIXyFCg
Pier Market Seafood Restaurant,HaAb_L9zVNLjJwrBkSf_Vw,"Seafood,Bars,Sandwiches",FALSE,ldEGB2FAfZiWtGqPihV6DQ,4,"Fun spot on the famous Pier 39. For a tourist trap, the food & drinks were actually pretty tasty! We were able to get a table on the water after a short...",tcXLcSYBqtcmR_5G-OO0zA
Pier Market Seafood Restaurant,HaAb_L9zVNLjJwrBkSf_Vw,"Seafood,Bars,Sandwiches",FALSE,YjNtFWuxI7_ygT9AhrApkQ,2,This business has two Yelp pages for the same business.  The other one is for an imaginary food stand that does not exist located...,FZTkBavnUWVQRK3ULOxePQ
Pier Market Seafood Restaurant,HaAb_L9zVNLjJwrBkSf_Vw,"Seafood,Bars,Sandwiches",FALSE,jPFkjAd7UD05bX7P76uHMw,3,"After walking through the Pier all morning, we finally found a place to eat. This was referred to by a nice fellow on the Pier. We were hungry, but not too...",7ArWnVr7qfZd9rStpQKyXw
Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,German,FALSE,NidMjtcsMyBkFuxQA0JwJA,5,"Any time that I'm in San Francisco, this is on my list of restaurants to eat at. It is great for drinks and dinner. 

The seating is semi-communal so you...",eEQWbTUoNnQzLVy2CvOI_g
Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,German,FALSE,OtLc9APCtQ3o0wu3_LHgpw,4,"Hayes Valley is filled with bougie dinner spots, and this is one of many. Price per dish here is definitely slightly cheaper than Zürich, Switzerland, and...",L4EjPVeYhStlA7fFb-1Gzw
Suppenküche,DGyoVB9PdI9_jw0CNi_OPg,German,FALSE,ouaKJDXTDZeyvNO5MdEpYg,5,"This is our go-to dinner place for birthdays and other celebrations. Make a reservation as it gets packed quickly on the weekends.

They have an excellent...",U6vi2zZQ_PTZ_3oZmDSGBQ
Surisan,i09UMzccKgyLwGYKDVP28w,"Korean,American (New),Breakfast & Brunch",FALSE,Xbe15ryptQcyw5YhX8Dn_A,5,"Nothing much to say other than this place still rocks.  I arrived late Sunday evening, was starving, and my hotel was just two blocks away.  I ordered to...",YU8frNuMEW6ErBRSBjQAHw
Surisan,i09UMzccKgyLwGYKDVP28w,"Korean,American (New),Breakfast & Brunch",FALSE,oqi4so3YSpJLiUDqngZQbg,4,"First, this is NOT traditional Korean food. You will not get a bunch of side dishes to complement your Bulgogi. We were a bit hasty in booking this because...",5tfwESbtz6GELPsrzCqrmw
Surisan,i09UMzccKgyLwGYKDVP28w,"Korean,American (New),Breakfast & Brunch",FALSE,ckBClgH6CTX-qo5qF1_Hxw,4,I came here for dinner. we had to make a reservations even tho there were empty seats. they have a hallway leading towards the bathroom. and that whole row...,#NAME?
um.ma,9Z9EETl8fZIP4s9KOHr5kg,"Korean,Barbeque",FALSE,bECDVru83WrvPN5HJOr6YQ,5,"Finally a good Korean restaurant in the SF!!! I live in LA's Koreatown so my Korean food expectations are very, very high. Um.ma is, by far, the best Korean...",hoF6z4IfoVxI849HZbmvbw
um.ma,9Z9EETl8fZIP4s9KOHr5kg,"Korean,Barbeque",FALSE,XR8G1ReASgPdeKnsE5KBng,4,"The quail egg banchan alone is worth the wait.

Ok...so I didn't actually wait because my party arrived promptly at 5:30pm on Saturday and we were seated...",n4rS00-ntTvcYlYMYVgApw
um.ma,9Z9EETl8fZIP4s9KOHr5kg,"Korean,Barbeque",FALSE,a7chd-BEFZ8dJ73bLJfU7Q,2,"They say don't judge a book by its cover; it's what's on the inside that counts. Um.ma is a classic example of all looks, no substance. That might've been...",e6k1MHf4-os9QI1EpsEhHA
San Tung,M0JTO3oyu6gxh1mfFjU-dA,"Chinese,Chicken Wings,Noodles",FALSE,0SGD32KPg8at4UB2yWZfzQ,5,"A couple of my friends talked up this place, and boy, I was not disappointed. Came here on a Saturday night with some friends and both restaurants (the...",litAGBP3-p5xxplPX45HOg
San Tung,M0JTO3oyu6gxh1mfFjU-dA,"Chinese,Chicken Wings,Noodles",FALSE,7RaP2ob_zBUYm3xANGMPbg,5,Came here after bay to breakers because my friend couldn't stop raving about how good their fried chicken is. I was starving at this point and was getting...,yk1owaUFzLJD5Efuu4oM9w
San Tung,M0JTO3oyu6gxh1mfFjU-dA,"Chinese,Chicken Wings,Noodles",FALSE,QPIk9n6NWiue4OHBCki0NA,4,I read about San Tung in the newspaper and decided to make the 90 minute drive to check it out. A friend and I decided to go for lunch. We ate family style...,uiKdAEQURGX-rku2UKfbJw
The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,"British,Fish & Chips,Seafood",FALSE,gkkuGK5FgF1N4xGsSiN1Yg,5,"Every single foodie there is has said something like ""We're gonna go get Mexican tonight.""  Or, ""We are going to go get Chinese tonight.""   But have you...",FZTkBavnUWVQRK3ULOxePQ
The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,"British,Fish & Chips,Seafood",FALSE,wOBTmLil7Z8Q700L2FGYew,4,"Came to the area for a quick snack after lunch to tide us over to a late dinner and this place sufficed.

Atmosphere-wise, it's a retro-fitted food truck...",uo3RSQRMyXPCOrB_8CN3ow
The Codmother Fish & Chips,PDhfVvcVXgBinZf5I6s1KQ,"British,Fish & Chips,Seafood",FALSE,gfx-eulwBMvlUCUcHWxI5Q,4,"Lunch review. Fish and chips.

4 - Fried fish
3 - Fried shrimp
4 - Fully loaded fries 
3 - Shrimp tacos

Overall, ""I'm a fan.""",AV6n2IFxNHQ2lu7ZONOomw
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,"Bars,American (New),Seafood",FALSE,9idTfWjUDsI6iFe7WHi1Kw,5,"Walked in at 7:50 on a Tuesday without a rez and got two seats at the end of the bar with a view of the kitchen for some great eats and drinks. 

This is...",PvZoWPR7mxKQYga6uN2uBg
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,"Bars,American (New),Seafood",FALSE,zwM9XDiry1Z8-lJ951rPzQ,5,"The hype of LihoLiho is real. Finally, had an occasion to try this spot and with high expectations, the food did not disappoint. 

Tip-If you haven't made a...",#NAME?
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,"Bars,American (New),Seafood",FALSE,UinvyXEC0f8TN1lP_PPhNQ,3,"Came with a reservation for 9:15pm and it was a reservation made in advance. We came at 9pm and we were seated promptly. Walking into the restaurant, the...",uo3RSQRMyXPCOrB_8CN3ow
Daeho Kalbijjim & Beef Soup,dY0Mc_PHH6nLENvWmVtwxQ,"Korean,Soup,Noodles",FALSE,JSbxxx12cntrqreMdb7I6A,5,"This is a Hot and Popular friends gathering / drinking place. Currently Soft Opening. Served only beef dish. If you are vegetarian or don't eat beef, this...",0Ro-uqlhOs5t_o05bBJUrQ
Daeho Kalbijjim & Beef Soup,dY0Mc_PHH6nLENvWmVtwxQ,"Korean,Soup,Noodles",FALSE,i1su1yfpm3s5xdnk4Ji5AA,4,"Came here with 2 friends at about 6pm on 4th of July and waited about 45 minutes. The online yelp waitlist seemed to be closed, so we had to go in person to...",hvH0w_V9lR7Ry5SSLoiv7Q
Daeho Kalbijjim & Beef Soup,dY0Mc_PHH6nLENvWmVtwxQ,"Korean,Soup,Noodles",FALSE,SVZJvUJqROzS44_sU8O3gQ,2,"This restaurant is only a few months old and yet boasts wait times that are longer than Marufuku and even Shizen. I have been keeping an eye on this place,...",L4EjPVeYhStlA7fFb-1Gzw
Beretta,4KfQnlcSu4bbTqnvGdGptw,"Italian,Bars,Pizza",FALSE,kR-115_OYxxbKQPo1Ajz7A,5,"Everything is good here- drinks, food, service, ambiance. 

Why we don't come here more is beyond me.

I have nothing to add except for ""Woohoo! as good as...",l_pL9BO0fYvxpHOcGcUtTQ
Beretta,4KfQnlcSu4bbTqnvGdGptw,"Italian,Bars,Pizza",FALSE,jG6vmEf6KD170HWLcnFErQ,5,"Best pizza in San Francisco 
Best service 
Open late
Drinks perfectly crafted and price not bad 
Atmosphere is 5 star and San Francisco inner mission all...",_2vZqNYy_nlk-OqxpWm79Q
Beretta,4KfQnlcSu4bbTqnvGdGptw,"Italian,Bars,Pizza",FALSE,XOo8JOEpKIqnMiaA-c-QNA,5,"I'm so glad Beretta is one of those pizza places too expensive for me to eat at every day, because  gahhh-daaayM I would! And I would be 400lbs by the...",IfZDnU_vV3OuYqJKYggJ9w
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,"Breakfast & Brunch,Asian Fusion,American (New)",FALSE,x-YF__j962vhFZf0hZ7fFw,5,This brunch spot is POPPING! Dropped in during pride weekend and it was like Mardi Gras in there with all the decoratione and even the staff was in very...,qllqxOqVhwfkZczJID7Msg
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,"Breakfast & Brunch,Asian Fusion,American (New)",FALSE,a_fYQYjGF-7nLuCK9KIWvg,3,"I love Kitchen Story's sister restaurants (Sweet Maple, Blackwood), so I was expecting equally good things out of Kitchen Story's brunch. Sadly, I can away...",Syyf3EEdXfbK9zjLJecbcQ
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,"Breakfast & Brunch,Asian Fusion,American (New)",FALSE,b3Uxhy9xrz1JUoT-5qRVpA,4,"This brunch spot was very busy, and we came during prime brunch time (~11:30/12 on a Sunday), but our group of two was seated fairly quickly. Interior is...",zux1bck92ONBnvuLsVLUpQ
Loló,1hMD7RQogPDWpE-p3LKjXA,Tapas/Small Plates,FALSE,Z9-1IVApZFV_1xgTAwFpfw,5,One of the best!! Came here with my sister and boyfriend and were very surprised at not only the overall look and vibe but the food and drinks were amazing!...,pu5ALZqIiipO2Uc4GWxNwA
Loló,1hMD7RQogPDWpE-p3LKjXA,Tapas/Small Plates,FALSE,_tCz4P_KcNhG2LCOS_75qA,2,"+ Very unique & eccentric atmosphere. They put a lot of effort into the decor!
+ Very unique drink selection. I have a drink with kimchi in it. Good...",exfo1mPHUX1HIUW0cMuEFA
Loló,1hMD7RQogPDWpE-p3LKjXA,Tapas/Small Plates,FALSE,Doeu_cn3wIWu4HPs2M721Q,5,This may be my new favorite spot in the city. I wish I would have checked it out sooner. I've probably tried about half of the menu at this point and have...,42pR2-xK-FJaHTET7VdSIA
Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,"Seafood,Seafood Markets,Live/Raw Food",FALSE,vRazYpYhf6C2ZuFwTqdLTA,5,Visited with the hubby on our first day in San Fran (also was our first visit to the city). We stumbled upon this place while wandering around the Ferry...,XNbrAATnVNAg1eTjMjn-pA
Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,"Seafood,Seafood Markets,Live/Raw Food",FALSE,T0Q7fyxSVwgVW9f7JTTLqA,3,"Why 3 stars? Because this was a solid meal but not worth the price for me.

   ---   ---   ---

I've had Hog Island bookmarked for a long time and was not...",pou3BbKsIozfH50rxmnMew
Hog Island Oyster Co,Xg-FyjVKAN70LO4u4Z1ozg,"Seafood,Seafood Markets,Live/Raw Food",FALSE,z0fB-DRlfYyujiKmFZFbNw,4,This restaurant is an anomaly at the Ferry Plaza Marketplace.  A hybrid if you wish.  A hybrid of a tourist attraction yet one that has legitimately world...,FZTkBavnUWVQRK3ULOxePQ
The New Spot On Polk,7bO6OHn52SJP4Mi3U-XflQ,"Breakfast & Brunch,Diners,Burgers",FALSE,1VBQ4kTYXOsm38-vRxq94g,5,"We have walked by this place so many times and it has always been packed to the gills. That said, we're sooooo happy this place has Yelp Waitlist. Instead...",Kv90Fmhp_xa2syxeZ56pmg
The New Spot On Polk,7bO6OHn52SJP4Mi3U-XflQ,"Breakfast & Brunch,Diners,Burgers",FALSE,FgVqRsRPfCcychktLDTCMQ,4,"Came here on a Sunday with 4 people after putting our names down for the Yelp waitlist. Wait was probably around 15 mins.

The place is really cozy and was...",ZfUM2xZQcq2ymMyxnh4skg
The New Spot On Polk,7bO6OHn52SJP4Mi3U-XflQ,"Breakfast & Brunch,Diners,Burgers",FALSE,kGuqiWgS7L1QzPdw90EmpA,5,We were in town for the weekend and needed some breakfast before going to the airport. I saw the biscuits and gravy on another costumer review and decided I...,l_L_sb_QcpPYCH1cqGamPA
Noosh,h5ohkmv-UQiJTKFzxSS6RQ,Mediterranean,FALSE,aOD_Zj-VZonw3JYOvQi5KQ,5,"Laura and Sayat!  Two of my favorite Bay Area chefs finally have a permanent location!

The food here is very unpretentious, a little more traditional than...",XSIPJkIvp7zfeBRtpYkmVg
Noosh,h5ohkmv-UQiJTKFzxSS6RQ,Mediterranean,FALSE,dVqN7CaL3ws6MQYK339bNw,2,"Food was good. 

Service got a bit weird. We sat down and finished our meals, it was great. Now dessert.....

Waitress disappeared. We continued to talk,...",7tr0p8KS1pb8qtfZAdqh-g
Noosh,h5ohkmv-UQiJTKFzxSS6RQ,Mediterranean,FALSE,xxHzaHYIRVZVpk8RzmS7UA,1,"Honestly I can't even believe I went back to this restaurant after the lackluster quality the first time, but it was my friend's birthday so I went along...",0V2L2vYyyaEn46Zdd2MNDQ
Z & Y Restaurant,GzOumj6_QOeQByuc_0yajQ,"Chinese,Seafood,Soup",FALSE,LGtjzCl57-WyhP8D0KWQSw,5,"Excellent food and service. Stopped by for lunch and ordered pot stickers for appetizers, cashew nut chicken and beef in hot chili oil. Hot and sour...",EanNUg8o7Rs46JnGdAFgWA
Z & Y Restaurant,GzOumj6_QOeQByuc_0yajQ,"Chinese,Seafood,Soup",FALSE,nlzzywyGYNZ-QXz1CuKE1A,5,"Here is a proof that the best rating on yelp for authentic Chinese food is 3.5 stars haha. 

This place features Sichuan cuisine and it is super authentic....",ia2YX9wV2d9CU6oZozKDzw
Z & Y Restaurant,GzOumj6_QOeQByuc_0yajQ,"Chinese,Seafood,Soup",FALSE,HmatFbu2rqMaWWRcnnonDA,4,"owner changed late 2013

Still my favorite Asian place in SF. Love their spicy Dan Dan noodles.",Ar_tZ7FNGvii0EmGr9XjAQ
The Front Porch,wxzx3duu1c0CcomzEOvfOQ,"Southern,Cajun/Creole,American (Traditional)",FALSE,wjCFIOOk5EEle0Xbl_heMw,4,Good southern food. Last time I was there I think my waiter faked a southern accent. I was down for it though in the name of hospitality. My friends got the...,P7YC-vY40th4OP95FcbfRQ
The Front Porch,wxzx3duu1c0CcomzEOvfOQ,"Southern,Cajun/Creole,American (Traditional)",FALSE,eKMkNx0KzAcLWkRYG6tEZA,4,"Great place, had a really nice atmosphere. Personally, the food was great.. my sister and I both got Sweet potato pulled pork hash, and it was cooked...",bveEK2q1SpT-QQJT6y8YDg
The Front Porch,wxzx3duu1c0CcomzEOvfOQ,"Southern,Cajun/Creole,American (Traditional)",FALSE,mGbQfvV0zw6DlEDvBRE9XA,1,"It's incredibly dark inside - not sure why they can't get more lights. It wasn't even a ~romantic~ ambiance, it was just dark and dingy. Food was below...",qiBjc6k5AY440dJwOrPdfg
Dumpling Kitchen,BI40rGhpngLNPacrjWpseQ,Chinese,FALSE,EONx24RvtXLou804DoeL5A,4,"I believe that they are under new ownership and can take credit card.  You can also check-in via Yelp which is awesome, since I hate standing in line to...",BcNJNvVk60cBJiuuNnwz8A
Dumpling Kitchen,BI40rGhpngLNPacrjWpseQ,Chinese,FALSE,t5s9zYtGeaAMfjZqKsMlqg,4,Came here for dinner on a Monday night and was able to be seated right away. There is also a waitlist on Yelp which is amazing! Ordered 8 dishes for 4...,uXjrM5ooM9iOzVxWRzUswg
Dumpling Kitchen,BI40rGhpngLNPacrjWpseQ,Chinese,FALSE,wi3_Wzt0nKlV7bZz_3efTA,4,"Coming from the San Gabriel Valley, I have high expectations for Chinese food. Dumpling Kitchen is the real deal! A place like this would fit right on...",MtEPQ57-viTthqGI1RD2dA
Scoma's Restaurant,jqEpBbf_qNfWuz_GBkwCjw,"Seafood,Italian,Lounges",FALSE,fkHSL-z_FkbMzWs9vNWUIg,5,I visited Scoma on Sunday night and the food was great!  The clam chowder was my favorite!  My husband enjoyed the cod.  I really enjoyed the beet salad....,Tl0n9K6RZjzabi1geJUD3w
Scoma's Restaurant,jqEpBbf_qNfWuz_GBkwCjw,"Seafood,Italian,Lounges",FALSE,pVQLXDkFBAz8YsYzRLXmgQ,2,We went to the bar for cocktails and appetizer while waiting for friends. The bartender was wonderful and was able to make a special cocktail that I...,9AyL9iHqulsP5D1t9O02_w
Scoma's Restaurant,jqEpBbf_qNfWuz_GBkwCjw,"Seafood,Italian,Lounges",FALSE,1fNKJoO3FnPD8jAOPppEbg,5,"Love Scomas! Had such an amazing experience! 

The food is absolutely the best in SF! The staff were on point, friendly and attentive. 

This is the only...",WViIhsS2VOpYYrZfOMIJew
Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,"Breakfast & Brunch,French,Soul Food",FALSE,bH7iLR7tsJJuMIX0nSiV-g,5,"Coming from Texas, good food is a non-negotiable whenever I visit somewhere. My family and I are visiting for a family reunion and vacation and a friend of...",GCy7zne00-fmVOA-6xHMmQ
Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,"Breakfast & Brunch,French,Soul Food",FALSE,HjCPHL46iKBHVkpZf85QnA,5,"I understand why there are10k reviews!

I'm always skeptical when there's a restaurant that claims to be the best ""soul"" or ""Cajun"" food experience in town...",yWlNL_3aI9D2dtGPP0re0w
Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,"Breakfast & Brunch,French,Soul Food",FALSE,CZZICqVGzqxjrBJm4845uw,4,"Parking: Street Parking

Customer Service: Average; There was one server that was a little rude. After eating, I walked to the bathroom towards the kitchen...",F-n17wUNY6Us2U7Zdc1d3Q
Causwells,DL-2iaugPoULjvZ6pyNRAQ,"American (New),Burgers,Breakfast & Brunch",FALSE,IfiAVyAt05SnGWarVWwttw,5,Me and my best friend ate here this evening and it was AMAZING. I literally created a yelp account so I could share my positive experience with everyone....,ekrW6yVRIHbZngOciUlkgA
Causwells,DL-2iaugPoULjvZ6pyNRAQ,"American (New),Burgers,Breakfast & Brunch",FALSE,0KAtcjsxtLlDmxNPeeIN4g,4,"Monday July 9, 19. We were greeted by a very friendly hostess who was happy to seat us right away. Our choices were the bar or a table right next to the...",W8k2GIFPP4PyqxGbdHwAWg
Causwells,DL-2iaugPoULjvZ6pyNRAQ,"American (New),Burgers,Breakfast & Brunch",FALSE,N_tzcDjTzuNtG9GVdEtKBw,4,Solid 4.5 stars. We came here for brunch while we were in town and were able to sit outside because the weather was nice.  We chose this place because of...,sHtn_VWmbAL5OuaTIxNIvA
Plain Jane,2IgUNNcCoUcmhiv5ei-Vlw,Breakfast & Brunch,FALSE,gwvv4qNwdy-NU5pkaazA0A,5,"When we first walked in, I thought this had to be a sister restaurant of Kitchen Story (there are several siblings in that family already) because of the...",O9iVmgS_hPtNd887LDBctw
Plain Jane,2IgUNNcCoUcmhiv5ei-Vlw,Breakfast & Brunch,FALSE,uIaOAPBHrw7YMfI6syojow,4,"This is definitely a solid brunch spot ! Be prepared to wait during weekends, for two of us we waited about 30 mins on Saturday around 1:30pm. 

The...",Y0LoRzpYNx85qBYuF7N3Hg
Plain Jane,2IgUNNcCoUcmhiv5ei-Vlw,Breakfast & Brunch,FALSE,ZSTiSLjwCqYTkDiKFFMZWg,3,"Cool modern decor and good menu options. I was gonna start with the matcha latte. I asked our server if the matcha powder is real matcha, and he said oh...",hu_fuEVjRmAXZBuoyBKFUg
Mr Szechuan,XhbkZ-5nUJ3bRy7uKPx7iQ,"Chinese,Desserts,Bubble Tea",FALSE,MkHXwR2pbBizXntiajTK9A,5,(Actually 4.5 stars) We kept our word and came back to try the garlic mixed seafood!! We came around 7pm and there were a decent amount of people waiting....,NmcfLhYfNPmck_iHYCpBeA
Mr Szechuan,XhbkZ-5nUJ3bRy7uKPx7iQ,"Chinese,Desserts,Bubble Tea",FALSE,O62tTCiO76yQEs4ZUNIfkA,4,"I did not know this location used to be lollipot until I read another review, but lollipot was never as good as tasty pot or boiling point.  My friend...",AE8nHSRPFlB4nh7CP8PlGQ
Mr Szechuan,XhbkZ-5nUJ3bRy7uKPx7iQ,"Chinese,Desserts,Bubble Tea",FALSE,v7J4ey2jC4Iu_hl8OkFTwg,4,"I've been here twice already, and I expect to be back. The dishes aren't traditional, as they range from Cantonese to Szechuan to Taiwanese. Still, dishes...",C6ag04Gs-GUqO6OjLc2q5Q
Dumpling Time,VPXezwmTETrwitrzj9BZPA,"Dim Sum,Asian Fusion",FALSE,WyL9C34jODY_LOWPFNZang,5,"I'm not a fan of lines. There, I said it. In my old age, I just don't have it in me anymore, but when colleagues requested Dumpling Time, I said I'm in. And...",wEE-YMx5pmSuagLtNxMPKA
Dumpling Time,VPXezwmTETrwitrzj9BZPA,"Dim Sum,Asian Fusion",FALSE,rPHty1Nn-X7ThkEd0NJZEA,4,"Wow,  Such a pleasant surprise.  Little wonder why there is a 20 min wait on a Saturday night at 6:00PM for a dumpling place.  

This place rocks. A must do...",wqZVviNPq4eEQZk_g4FY1g
Dumpling Time,VPXezwmTETrwitrzj9BZPA,"Dim Sum,Asian Fusion",FALSE,t6Lv67qldjK6rLaLspyFTg,3,I look forward to visiting Dumpling Time again if I get the chance. My friends and I arrived right when they opened at 11 and by 11:30 there was a wait and...,HRqIBU2tTaZE3bLVoMSo1w
Tuba Authentic Turkish Restaurant,bH8FgQYhxkj5qQ4wL7vPFA,"Mediterranean,Turkish",FALSE,UHBNaGSLGxMuqeWBscRAkA,5,"Great experience!  The food was delicious.  We ordered all vegetarian dishes.  There was only one entree for vegetarians (it's vegan), but with all the...",95qMMnmpurfvJypepEMTfg
Tuba Authentic Turkish Restaurant,bH8FgQYhxkj5qQ4wL7vPFA,"Mediterranean,Turkish",FALSE,fohiIhnwTMFl1dFZXRl-gQ,4,"I feel bad to be getting to this review so many months after eating at Tuba, but I had to come back and say how wonderful it was. I love Turkish food, and...",bfA-iPjCG2yll8JMBLiDVQ
Tuba Authentic Turkish Restaurant,bH8FgQYhxkj5qQ4wL7vPFA,"Mediterranean,Turkish",FALSE,_Nt9lJEs3uKJO2BLAbbOdg,2,"Decided to give it another try. The texture of the yogurt sauce in the sarma beyti was gross. Kebobs were fine but were nothing special and overpriced.

The...",pYQBdHsv-gBuFKF4xGYzOw
Barrel Head Brewhouse,TCaagQVqECB97vJAs4t9Mg,"Breweries,American (Traditional),Venues & Event Spaces",FALSE,Kmze9E-WilED4caY-jSdeg,4,"Service was good but not that best. Had to try and get the waiter's attention a few times for the check. 

We tried the beer flight and liked 3 out of the 4...",ZWDNj11nhJIO3od1IxH8mg
